segment_id,quality,param,mean,std,median,IQR,MAD,skew,kurt,p12.5,p12.5_ci_low,p12.5_ci_high,p25,p25_ci_low,p25_ci_high,p50,p50_ci_low,p50_ci_high,p75,p75_ci_low,p75_ci_high,p87.5,p87.5_ci_low,p87.5_ci_high
ALL,CLEAN,f0_hz,267.9868093551925,37.6035254937739,256.3888163841458,68.95371195650756,24.22511889737828,0.260157600255805,-1.1601170171956763,219.3649959389252,218.1015465330516,220.63576443274928,243.40070273411817,241.9988178438585,243.7601406463459,256.3888163841458,256.3888163841458,256.6483354427172,312.35441469062573,308.44216508158814,313.83363915870024,321.1850506919106,321.1691527453505,323.02966672001685
ALL,CLEAN,spec_bandwidth_hz,5725.401301939334,756.4859210336978,5616.866533755954,960.5496380402692,465.1034775346443,0.6342282596065196,0.07595574123393956,4920.88399805245,4893.155150262744,4942.705130188642,5190.45588296534,5166.856712279746,5221.932448346712,5616.866533755954,5591.579178703576,5645.3745271969265,6151.005521005609,6107.890174744066,6199.71200893332,6643.669742230286,6560.532993171562,6716.040350582048
ALL,CLEAN,spec_centroid_hz,3617.1959147776392,1321.0989623986948,3247.731260769112,1099.9252722841402,488.8390863499626,2.4286467070842006,7.444685099668801,2602.3298213299427,2576.038888793447,2623.24132436584,2825.706799737708,2801.9347341237913,2849.285885699031,3247.731260769112,3212.157727866088,3276.109126278443,3925.632072021848,3851.067771886958,3974.7957527526296,4676.094042091858,4570.655710049293,4811.005518711966
ALL,CLEAN,spec_rolloff_hz,17382.868187355274,1083.8519973899142,17375.19207000734,1358.957505226117,684.0997695922888,-0.010256426029023918,0.22303370999686845,16214.3915534019,16144.226615130774,16266.869010329252,16680.041813850406,16636.127695441264,16731.708884239146,17375.19207000734,17323.6417078972,17416.6093146801,18038.999319076524,17990.274138450615,18087.360180616448,18610.244286060362,18518.5546875,18696.34884148836
ALL,CLEAN,vibrato_cents_abs,31.75024774904839,22.844129591582934,22.42214284169571,26.16281278392089,9.400227394697986,1.5082826775612044,1.7388840185719436,12.458378442069437,12.201587807955798,12.903373119603476,15.271157768609982,14.922255172697515,15.694588292466229,22.42214284169571,21.49278096439263,23.652555405059974,41.43397055253087,39.26534891908698,43.73872723009466,60.669862807637934,57.60214968408751,63.79186531699775
ALL,CLEAN,zcr,0.03883926897659041,0.02066400100895715,0.034327030181885154,0.014683723449706577,0.006989002227783803,3.691629561110401,21.02061349152146,0.02406919002532949,0.023511731624603054,0.024419784545898375,0.028084039688110626,0.02776741981506345,0.02849307060241689,0.034327030181885154,0.03405652046203536,0.0348661541938779,0.0427677631378172,0.041889864206313625,0.04358575940132142,0.05201637744903545,0.05057394504547143,0.05350565910339404
ALL,CLEAN,rms_dbfs,-29.325351036531757,3.0070169263294986,-29.112632676959045,3.9789154082537976,1.9675448089837762,-0.19789227702194812,0.2962844241205991,-32.6349226655439,-32.76132614866374,-32.438575922721036,-31.350190805271403,-31.47665189981929,-31.23164521891156,-29.112632676959045,-29.2562245875597,-29.012361732590897,-27.371275397017605,-27.48434950332155,-27.23942506399468,-26.130950897000723,-26.34920855516087,-25.950282275676763
ALL,CLEAN,time_s,24.236111798254655,14.57880470474817,21.96658163265306,21.406828231292515,10.72267006802721,0.688160195577483,-0.6759322567820121,8.9931179138322,8.592791064342405,9.229660643424038,11.42496598639456,11.137247378117914,11.83899255952381,21.96658163265306,21.135053287981858,22.655280753968253,32.831794217687076,32.58385870181406,33.28480725623583,47.96748441043084,47.28979581207483,48.26661284722223
ALL,CLEAN,F1_hz,511.8496749223995,124.87434704029921,504.393300815084,159.42699876248605,80.2256972746977,0.6900426025210062,1.0469720718541637,373.61001691726955,366.97625115420243,378.96458731709225,423.30256106067816,414.51824011417693,427.7268488515703,504.393300815084,499.59611680522596,510.57254706654356,582.7295598231642,574.8496568717675,590.6826194268664,649.4314873382739,641.6703271779876,658.6569334616684
ALL,CLEAN,F2_hz,1055.5110384252077,263.3433868739522,992.3331532244317,99.4582487501084,44.1555382880083,4.331917101576167,21.682785880655516,921.558731926712,915.8282401601706,927.4909990632584,953.3899075899294,950.8232691262449,955.934970569373,992.3331532244317,989.2832018518,996.6727604440688,1052.8481563400378,1043.5625468145686,1061.5277691904143,1183.2308646113088,1164.7979394867175,1196.5318083048592
