base,egg,audio,cluster,weight,mu_x,mu_y,cov_xx,cov_xy,cov_yy
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_rolloff_hz,0,0.18000900347248527,16618.24814669756,0.37074485043896543,1269704.8263702008,-87.44773566911823,0.019396500858737408
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_rolloff_hz,1,0.4001038268182912,17360.98333935965,0.48265869989366267,557866.6952437155,-9.208750404501252,0.004997703770870622
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_rolloff_hz,2,0.2820448089608072,17139.990456229556,0.6803183885825846,710049.7777352122,-15.267308882480553,0.04641232037254564
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_rolloff_hz,3,0.13784236074841633,18869.550668162603,0.5019186133693415,517356.8616239655,-22.606435685708487,0.051512101370103626
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,vibrato_cents_abs,0,0.4867148763710296,16.14912388577742,0.4954982792866366,17.117053611432123,-0.019849118227647934,0.027286387246386684
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,vibrato_cents_abs,1,0.38860681630577193,36.345528892758416,0.5604230782713568,178.52799694399897,-0.6326833685211094,0.04301543803467628
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,vibrato_cents_abs,2,0.1246783073231985,78.93185056440166,0.48258059629232825,331.3067403530133,-0.14554529506023925,0.03706524377931077
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,zcr,0,0.3042203446749205,0.04129258727882151,0.5402975707015761,0.000162966254081089,-0.0005702485784447531,0.034153814147387725
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,zcr,1,0.0678174221708809,0.08809970619551084,0.4906400216041398,0.0017749389939804283,-0.0003940222745621276,0.05144488294265756
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,zcr,2,0.06678643300459113,0.030864559162910404,0.9608464127262095,7.767136877262813e-05,-2.1909793010295783e-05,0.0003651528822340099
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,zcr,3,0.5611758001496076,0.03199051840762818,0.4617126418319187,6.332082112323676e-05,-1.355671060914147e-05,0.015272713362962282
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,rms_dbfs,0,0.23251146787978225,-27.34150449679683,0.6485275575128966,6.867687890770382,-0.055995442999357804,0.058664132538881524
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,rms_dbfs,1,0.48062846118005875,-29.138306026596048,0.47175172587562064,5.385384718326347,0.003169308064440642,0.007506160453746294
